id,customer_name,sentiment,csat_score,call_timestamp,reason,channel,response_time,call_duration_in_minutes,call_center,agent_id
FXL-84178942-u-052829-XI,Lucilia Blenkhorn,Negative,,10/11/2023,Billing Question,Email,Within SLA,39,Baltimore/MD,131
VJQ-35718541-f-410836-5V,Ophelia Thresh,Negative,,10/4/2023,Billing Question,Email,Above SLA,15,Baltimore/MD,128
WWE-90128095-o-317664-QO,Norine Hedau,Negative,,10/27/2023,Payments,Call-Center,Within SLA,36,Los Angeles/CA,411
WRN-02286567-g-819640-IF,Inessa Trippitt,Very Positive,9,10/13/2023,Billing Question,Email,Above SLA,16,Los Angeles/CA,409
GII-58879080-G-003855-fq,Clarence Heymann,Very Negative,,10/22/2023,Billing Question,Email,Above SLA,40,Los Angeles/CA,441
LEI-66844798-H-062686-fX,Dermot Capponer,Very Negative,,10/18/2023,Billing Question,Email,Below SLA,30,Baltimore/MD,135
GJA-73841780-H-981786-el,Paulette Tartt,Very Negative,1,10/21/2023,Billing Question,Email,Within SLA,14,Baltimore/MD,139
WMK-53470523-t-979771-6D,Tamarra Pavier,Negative,4,10/23/2023,Billing Question,Chatbot,Within SLA,14,Baltimore/MD,117
RFH-13005335-x-941945-KY,Darcy Cuncarr,Negative,4,10/14/2023,Billing Question,Call-Center,Within SLA,37,Chicago/IL,229
TCF-76185462-G-581239-Uh,Ab Potteril,Very Negative,2,10/11/2023,Billing Question,Email,Below SLA,10,Chicago/IL,207
PHM-21046348-y-700571-Q0,Christi Matveichev,Neutral,,10/19/2023,Billing Question,Call-Center,Within SLA,24,Baltimore/MD,119
RTW-93566842-a-737480-ex,Luca Castel,Positive,9,10/6/2023,Payments,Call-Center,Within SLA,44,Los Angeles/CA,422
EVX-57238379-w-409038-iP,Sonnie Pickvance,Positive,7,10/27/2023,Billing Question,Web,Within SLA,18,Los Angeles/CA,430
HGJ-90827281-o-285311-OH,Abramo Tottman,Very Negative,1,10/19/2023,Billing Question,Web,Above SLA,33,Baltimore/MD,142
RMP-80622052-4-366156-CW,Evanne Domeny,Very Negative,,10/8/2023,Billing Question,Call-Center,Below SLA,20,Los Angeles/CA,424
QOT-98385562-d-413189-ae,Welsh Eisig,Very Negative,,10/5/2023,Billing Question,Web,Within SLA,21,Denver/CO,324
EAE-65130530-2-175819-Fy,Terrye Conring,Very Negative,3,10/28/2023,Payments,Call-Center,Within SLA,29,Los Angeles/CA,436
DVL-23396440-Q-486865-FM,Kinny Foxall,Very Negative,,10/26/2023,Payments,Call-Center,Below SLA,25,Baltimore/MD,103
NEC-52763410-8-812910-pI,Dare Ropcke,Positive,8,10/25/2023,Billing Question,Email,Within SLA,34,Denver/CO,330
XAW-53304484-e-433257-XN,Cornelia Dunbabin,Neutral,,10/28/2023,Billing Question,Call-Center,Within SLA,9,Los Angeles/CA,436
NXV-10881978-9-946923-43,Cathrine Samwayes,Very Negative,3,10/15/2023,Billing Question,Email,Above SLA,19,Baltimore/MD,142
MDE-83031739-m-664425-oX,Katy Flaxman,Negative,,10/18/2023,Billing Question,Chatbot,Within SLA,13,Los Angeles/CA,416
WRH-77726615-b-077434-rN,Lily Mackneis,Very Negative,,10/11/2023,Billing Question,Chatbot,Within SLA,28,Baltimore/MD,125
NHW-21028958-t-422528-Io,Brigid Bolduc,Neutral,,10/30/2023,Billing Question,Chatbot,Within SLA,12,Los Angeles/CA,432
KAT-16845483-b-068292-1G,Bobette Dominik,Neutral,,10/12/2023,Billing Question,Chatbot,Within SLA,43,Denver/CO,301
AIL-21152814-d-948025-n4,Evvy Strodder,Very Negative,,10/9/2023,Billing Question,Chatbot,Below SLA,18,Los Angeles/CA,408
MWN-00656157-D-072318-s6,Stirling Melonby,Negative,,10/9/2023,Billing Question,Web,Within SLA,13,Los Angeles/CA,424
WPV-53866208-i-349806-BS,Casey Leuren,Neutral,8,10/30/2023,Billing Question,Chatbot,Within SLA,11,Baltimore/MD,140
VFQ-57739589-l-193160-SS,Daryl Brockington,Neutral,,10/21/2023,Service Outage,Chatbot,Within SLA,34,Chicago/IL,208
CYA-41460660-A-483427-PH,Filippo Lobb,Very Positive,10,10/2/2023,Payments,Call-Center,Within SLA,28,Denver/CO,302
KAJ-22233064-X-517737-X0,Shane Edland,Very Positive,10,10/17/2023,Billing Question,Email,Below SLA,5,Los Angeles/CA,408
LUH-80430657-z-207262-lV,Burtie Crisford,Very Negative,,10/9/2023,Billing Question,Call-Center,Within SLA,7,Baltimore/MD,142
ZHL-06753407-O-331004-y6,Arabele Clerke,Neutral,,10/28/2023,Service Outage,Chatbot,Below SLA,39,Los Angeles/CA,411
QGD-50303332-A-087785-PH,Giustino Kennermann,Very Negative,,10/6/2023,Service Outage,Chatbot,Within SLA,19,Baltimore/MD,136
ZJX-47155083-b-805254-9M,Glori Oleksiak,Negative,,10/12/2023,Payments,Call-Center,Below SLA,18,Baltimore/MD,146
LMR-68858294-L-183176-Qy,Rey Sabatini,Negative,,10/2/2023,Payments,Call-Center,Within SLA,7,Chicago/IL,214
FKP-23360048-y-114896-NK,Brandyn Venneur,Very Positive,,10/24/2023,Payments,Call-Center,Within SLA,22,Baltimore/MD,141
AXT-89051099-d-054300-XT,Pierce Gallichan,Negative,,10/23/2023,Billing Question,Web,Above SLA,36,Denver/CO,316
AOG-02888619-4-739374-wN,Chilton Ropars,Neutral,,10/28/2023,Service Outage,Email,Within SLA,25,Los Angeles/CA,420
OPL-13984987-m-901880-um,Hayley Asty,Very Negative,3,10/3/2023,Billing Question,Email,Within SLA,27,Baltimore/MD,111
YWB-65644523-O-674458-XP,Kore Whittle,Positive,,10/25/2023,Billing Question,Call-Center,Within SLA,26,Los Angeles/CA,429
IYD-81228771-b-769762-1V,Abeu Anwyl,Positive,,10/19/2023,Billing Question,Call-Center,Within SLA,5,Los Angeles/CA,423
ZHN-91225755-t-681844-LG,Feliks People,Neutral,6,10/12/2023,Payments,Call-Center,Within SLA,29,Los Angeles/CA,420
IHI-72966951-G-403110-Sy,Shell Duiguid,Negative,,10/23/2023,Billing Question,Chatbot,Within SLA,31,Denver/CO,328
IUP-65163856-f-184879-aa,Evania Mildner,Neutral,,10/29/2023,Billing Question,Chatbot,Above SLA,10,Chicago/IL,229
DAN-39591608-P-003798-Bg,Alie Myles,Very Positive,,10/17/2023,Billing Question,Email,Within SLA,23,Los Angeles/CA,438
VKG-54364407-E-601314-Fp,Kincaid MacLachlan,Neutral,,10/16/2023,Billing Question,Web,Within SLA,27,Los Angeles/CA,427
AJF-10178673-I-311710-Fh,Rutherford Champain,Negative,,10/13/2023,Payments,Call-Center,Below SLA,10,Baltimore/MD,135
NBG-56274949-o-852036-dB,Clair Swallow,Neutral,,10/16/2023,Billing Question,Email,Above SLA,30,Los Angeles/CA,410
JIG-42904757-r-372395-ZH,Westleigh Bentzen,Very Negative,,10/5/2023,Billing Question,Web,Above SLA,36,Baltimore/MD,121
QKD-91233651-M-990701-UR,Christophe Rosengart,Positive,,10/16/2023,Billing Question,Email,Within SLA,8,Los Angeles/CA,422
KLM-90591825-E-378019-Ie,Austina Swynfen,Positive,,10/23/2023,Service Outage,Chatbot,Above SLA,33,Los Angeles/CA,422
VLX-33683640-T-372040-uu,Celestina Tackes,Negative,5,10/26/2023,Billing Question,Call-Center,Within SLA,43,Chicago/IL,214
YOK-23627279-k-431497-L2,Oswald Brawson,Positive,,10/7/2023,Billing Question,Chatbot,Within SLA,23,Baltimore/MD,139
BIL-26875178-G-474377-tv,Zechariah Ingarfield,Negative,,10/22/2023,Billing Question,Call-Center,Within SLA,25,Chicago/IL,210
RDL-63750260-P-416532-DU,Gussie Vowles,Negative,6,10/3/2023,Service Outage,Chatbot,Above SLA,31,Los Angeles/CA,433
CAG-24954306-H-104528-3n,Felisha Sprowle,Negative,,10/5/2023,Billing Question,Call-Center,Within SLA,12,Los Angeles/CA,418
HFL-70785916-D-871851-or,Lorna Boggish,Very Negative,,10/29/2023,Billing Question,Call-Center,Within SLA,40,Los Angeles/CA,406
CZG-05210179-2-615320-oK,Charmion Sopp,Neutral,,10/4/2023,Payments,Call-Center,Within SLA,38,Baltimore/MD,136
QCH-73713558-G-204641-Mt,Brande Adamini,Neutral,,10/14/2023,Billing Question,Email,Within SLA,17,Baltimore/MD,143
WIQ-06317928-k-919384-Q2,Karl Woolaston,Positive,,10/17/2023,Service Outage,Chatbot,Within SLA,31,Denver/CO,319
JMP-77172697-n-901768-bp,Gaven Blandamore,Very Negative,,10/3/2023,Billing Question,Chatbot,Within SLA,18,Los Angeles/CA,436
HKE-85931805-N-030647-oR,Pieter Pheasey,Negative,,10/6/2023,Service Outage,Chatbot,Within SLA,39,Los Angeles/CA,418
TQA-46056709-v-539940-ee,Taddeusz Badcock,Negative,6,10/14/2023,Billing Question,Web,Below SLA,45,Los Angeles/CA,431
WZW-59071138-j-875358-dO,Ellyn McCaskill,Very Positive,10,10/19/2023,Billing Question,Chatbot,Within SLA,30,Los Angeles/CA,440
ORE-49445345-7-879511-FT,Amargo Eplate,Positive,8,10/21/2023,Billing Question,Web,Below SLA,45,Baltimore/MD,122
DDC-15300112-m-922879-u2,Lorrie Spong,Very Negative,,10/11/2023,Billing Question,Chatbot,Within SLA,9,Baltimore/MD,143
XOD-41601699-M-437189-Vy,Teodoro Denkin,Positive,,10/19/2023,Billing Question,Web,Within SLA,34,Los Angeles/CA,429
BGB-25489336-F-739158-Vd,Vale Bouette,Neutral,,10/9/2023,Service Outage,Chatbot,Within SLA,25,Baltimore/MD,102
YUK-10925388-i-304236-Br,Pren Klus,Neutral,,10/1/2023,Billing Question,Chatbot,Within SLA,12,Los Angeles/CA,418
UMM-77438392-W-343952-6Y,Carola Gummery,Neutral,8,10/28/2023,Billing Question,Web,Within SLA,44,Baltimore/MD,127
ZUX-00417832-N-543837-Pe,Faina Matyasik,Negative,6,10/5/2023,Billing Question,Chatbot,Within SLA,16,Los Angeles/CA,428
UMY-95311157-A-947677-HK,Doloritas enzley,Very Negative,3,10/1/2023,Service Outage,Chatbot,Within SLA,36,Baltimore/MD,152
AGX-79640692-7-100627-x4,Torrie Wann,Negative,,10/4/2023,Billing Question,Email,Below SLA,25,Chicago/IL,212
EVY-85902976-a-973416-a6,Fifi Brien,Very Positive,,10/19/2023,Payments,Call-Center,Within SLA,18,Denver/CO,304
YNX-08765761-t-935381-BC,Aggie Pennicard,Neutral,,10/6/2023,Billing Question,Email,Above SLA,8,Chicago/IL,220
RAU-37744396-2-812188-W2,Ailsun Feaks,Negative,,10/4/2023,Billing Question,Chatbot,Within SLA,17,Denver/CO,311
UPZ-68823283-g-164011-tl,Fina Hebborn,Negative,,10/10/2023,Billing Question,Call-Center,Below SLA,39,Los Angeles/CA,430
NMS-25456230-5-260339-Sn,Hazel Sheed,Positive,,10/4/2023,Billing Question,Email,Within SLA,10,Los Angeles/CA,419
XMQ-21155114-J-492481-y0,Vallie Frusher,Very Negative,,10/23/2023,Payments,Call-Center,Below SLA,40,Baltimore/MD,127
PXG-75757404-D-089250-VQ,Ephrem Sweetland,Neutral,,10/3/2023,Service Outage,Chatbot,Within SLA,16,Baltimore/MD,139
VQX-77431944-V-379779-rN,Ines Cosson,Negative,,10/22/2023,Service Outage,Email,Above SLA,19,Los Angeles/CA,412
XRH-28039385-i-441412-qT,Tildi Perfitt,Neutral,,10/28/2023,Service Outage,Email,Within SLA,18,Los Angeles/CA,438
EZG-96969078-O-814391-br,Emmalynn Torry,Neutral,7,10/5/2023,Billing Question,Call-Center,Within SLA,42,Chicago/IL,202
YHS-37219789-W-476570-qZ,Flemming Sullens,Negative,,10/14/2023,Billing Question,Email,Within SLA,42,Los Angeles/CA,410
CMN-43419712-H-829273-3y,Rowen Snow,Positive,9,10/9/2023,Payments,Call-Center,Below SLA,32,Denver/CO,311
FBO-87879427-J-009183-mG,Corbet Baleine,Positive,9,10/14/2023,Payments,Call-Center,Within SLA,42,Los Angeles/CA,437
VEE-48830806-E-435650-BJ,Kerry Trusslove,Negative,,10/8/2023,Service Outage,Web,Within SLA,20,Baltimore/MD,106
JWP-41440696-2-031451-C6,Boycie Tegler,Very Negative,4,10/15/2023,Billing Question,Call-Center,Within SLA,37,Chicago/IL,216
KGG-17002859-h-043550-OQ,Aurelie Gundry,Positive,,10/11/2023,Billing Question,Web,Above SLA,11,Los Angeles/CA,423
WCW-60464774-8-695239-xQ,Rachelle Gellibrand,Positive,,10/7/2023,Billing Question,Web,Within SLA,13,Chicago/IL,222
UGV-83416198-x-359115-7q,Arleta Staniland,Positive,8,10/17/2023,Billing Question,Web,Below SLA,31,Los Angeles/CA,441
JDY-21229920-K-658247-id,Lucky Paladini,Negative,,10/18/2023,Billing Question,Web,Within SLA,28,Chicago/IL,205
MNT-33811761-U-959291-5J,Inga Grenkov,Negative,5,10/6/2023,Billing Question,Chatbot,Below SLA,43,Los Angeles/CA,419
AYN-54834891-R-354000-hr,Ashla Raffles,Neutral,,10/23/2023,Billing Question,Web,Below SLA,9,Baltimore/MD,151
MBV-45413978-v-824180-Qi,Vikky Keune,Very Positive,10,10/26/2023,Billing Question,Email,Within SLA,16,Baltimore/MD,119
XKQ-86388884-2-623657-TD,Fransisco Oager,Very Negative,,10/11/2023,Service Outage,Email,Below SLA,36,Baltimore/MD,150
HLJ-99212779-W-167630-1I,Peyter Balogun,Positive,8,10/25/2023,Billing Question,Web,Within SLA,13,Baltimore/MD,138
RLG-69874742-f-666744-im,Cybill Curnok,Neutral,,10/2/2023,Service Outage,Web,Below SLA,35,Chicago/IL,206
NWG-45955402-4-774653-2L,Marlo Hillin,Very Negative,2,10/25/2023,Billing Question,Chatbot,Within SLA,6,Los Angeles/CA,417
KUZ-89193200-l-141645-d9,Ricky Bonavia,Very Positive,,10/22/2023,Payments,Call-Center,Within SLA,30,Los Angeles/CA,427
DFG-59356303-I-414939-zb,Feliza Sipson,Negative,,10/10/2023,Service Outage,Email,Within SLA,8,Los Angeles/CA,441
TTI-53335670-t-550401-k3,Cristin Malkinson,Very Positive,,10/29/2023,Billing Question,Call-Center,Above SLA,16,Chicago/IL,215
SHV-99168018-u-774671-0p,Hilde Clarkin,Negative,,10/5/2023,Billing Question,Web,Below SLA,5,Los Angeles/CA,403
MIJ-38906805-w-561289-qL,Orelia Orae,Negative,,10/7/2023,Billing Question,Chatbot,Below SLA,24,Los Angeles/CA,408
TGV-97529818-F-226520-Gq,Jenn Brownhill,Neutral,,10/3/2023,Billing Question,Email,Within SLA,28,Los Angeles/CA,424
MOC-43485174-5-316370-dD,Maison Deverose,Negative,,10/30/2023,Billing Question,Chatbot,Above SLA,15,Los Angeles/CA,436
YJM-29316870-c-314136-0T,Gery Portlock,Negative,,10/15/2023,Billing Question,Call-Center,Within SLA,10,Baltimore/MD,127
GTY-39005350-Q-328428-YA,Josey Osinin,Negative,6,10/29/2023,Billing Question,Web,Below SLA,36,Chicago/IL,201
YGX-70181255-1-256525-By,Clarine Moodie,Positive,7,10/23/2023,Billing Question,Chatbot,Below SLA,23,Baltimore/MD,101
XNL-78408806-T-458965-qS,Geri Covelle,Neutral,6,10/30/2023,Billing Question,Call-Center,Within SLA,28,Los Angeles/CA,415
PXT-69194953-d-447393-QR,Marga Demicoli,Negative,4,10/11/2023,Billing Question,Chatbot,Above SLA,37,Chicago/IL,227
JRK-00609213-W-674012-db,Maxim Scandroot,Neutral,6,10/25/2023,Payments,Call-Center,Within SLA,27,Los Angeles/CA,417
KTC-30853866-q-759167-aF,Nadeen Pittendreigh,Neutral,7,10/27/2023,Billing Question,Chatbot,Within SLA,37,Denver/CO,323
HZX-57540856-P-760144-Pq,Marrilee McArd,Neutral,5,10/7/2023,Billing Question,Email,Within SLA,11,Los Angeles/CA,415
BGF-80045023-s-226299-lK,Corella Pollicatt,Negative,,10/9/2023,Billing Question,Call-Center,Within SLA,15,Baltimore/MD,131
LWD-82447125-D-644546-bf,Augustina Vockins,Negative,,10/5/2023,Billing Question,Web,Below SLA,38,Chicago/IL,221
FPF-80857502-f-712054-6o,Zarah Johann,Negative,4,10/25/2023,Billing Question,Web,Within SLA,13,Los Angeles/CA,424
AQP-09146601-u-158026-WF,Redford Ivanishchev,Very Positive,9,10/18/2023,Payments,Call-Center,Below SLA,11,Baltimore/MD,102
ASS-22875557-o-550724-IC,Terrill Kick,Neutral,7,10/16/2023,Service Outage,Chatbot,Within SLA,32,Baltimore/MD,101
LCC-98072611-T-854471-sd,Keith Krug,Neutral,,10/16/2023,Billing Question,Email,Below SLA,8,Chicago/IL,213
DSU-28581460-x-002850-q8,Alfonso Ardling,Positive,7,10/15/2023,Billing Question,Web,Within SLA,29,Los Angeles/CA,417
CAU-19658969-U-798035-SD,Rachele Haville,Neutral,,10/21/2023,Billing Question,Call-Center,Within SLA,8,Denver/CO,331
ODP-49997228-u-303230-W5,Joachim Armand,Negative,,10/19/2023,Service Outage,Chatbot,Below SLA,39,Los Angeles/CA,407
CDP-21514284-p-871522-Xi,Kathryn Roof,Very Negative,,10/7/2023,Service Outage,Chatbot,Within SLA,24,Baltimore/MD,108
VVN-36195665-z-321563-dI,Lewiss Guillard,Neutral,7,10/24/2023,Service Outage,Chatbot,Below SLA,24,Los Angeles/CA,404
RVE-32116131-o-035627-C3,Marjy Inmett,Very Positive,,10/15/2023,Billing Question,Email,Within SLA,27,Baltimore/MD,152
DIY-05490783-q-896657-pm,Vince Archard,Positive,,10/18/2023,Billing Question,Chatbot,Within SLA,30,Los Angeles/CA,413
KUF-49133016-8-128406-mx,Rooney Hegg,Negative,4,10/7/2023,Billing Question,Call-Center,Above SLA,33,Baltimore/MD,142
QKX-98879212-W-424340-cV,Kimmi Frost,Positive,,10/29/2023,Payments,Call-Center,Within SLA,7,Los Angeles/CA,422
NGK-06105458-8-018546-uH,Minnaminnie Dollman,Negative,6,10/29/2023,Billing Question,Chatbot,Within SLA,20,Los Angeles/CA,413
XUU-06543953-1-404556-et,Natale Slyne,Neutral,,10/19/2023,Service Outage,Chatbot,Above SLA,44,Chicago/IL,218
XCL-88834572-N-136296-Iw,Aeriell Croft,Neutral,,10/20/2023,Billing Question,Chatbot,Within SLA,30,Los Angeles/CA,416
GVD-91650922-K-616880-vu,Ailyn Langstone,Very Positive,9,10/17/2023,Billing Question,Email,Above SLA,15,Baltimore/MD,148
OGR-34257616-4-553825-Wi,Tobin Kerss,Positive,,10/14/2023,Billing Question,Web,Within SLA,25,Baltimore/MD,131
YLS-51088325-f-606647-fC,Bjorn Collingwood,Very Negative,4,10/29/2023,Service Outage,Web,Within SLA,28,Baltimore/MD,149
RHI-49583683-y-738413-bh,Mateo Northcliffe,Negative,,10/13/2023,Billing Question,Chatbot,Above SLA,33,Baltimore/MD,117
KLT-10950188-s-340191-Po,Hanni Curryer,Negative,,10/15/2023,Billing Question,Chatbot,Within SLA,9,Baltimore/MD,111
EPM-97130933-U-560212-dr,Hollie Gibbetts,Negative,,10/17/2023,Billing Question,Web,Within SLA,43,Los Angeles/CA,439
KKP-08307815-a-533858-sL,Murray Calyton,Negative,,10/11/2023,Service Outage,Chatbot,Below SLA,10,Baltimore/MD,134
NKL-46661864-X-889382-vO,Etti Stanmer,Negative,4,10/11/2023,Payments,Call-Center,Within SLA,25,Chicago/IL,225
VII-30050552-K-168241-4d,Powell Swainston,Negative,,10/3/2023,Billing Question,Web,Within SLA,35,Los Angeles/CA,425
JWN-58736401-R-365072-mB,Sanford Cush,Very Positive,,10/10/2023,Billing Question,Email,Above SLA,16,Baltimore/MD,135
GVY-11647966-a-242642-Ts,Pansie Drydale,Very Positive,10,10/25/2023,Billing Question,Web,Below SLA,44,Chicago/IL,228
JDO-60656911-A-751635-zk,Jandy Haggidon,Very Negative,,10/17/2023,Billing Question,Email,Within SLA,21,Denver/CO,314
VOC-15433417-2-640871-xI,Mimi Simes,Neutral,,10/26/2023,Billing Question,Email,Within SLA,27,Los Angeles/CA,433
NOF-50415111-D-683237-E2,Sinclare Dimbleby,Positive,,10/29/2023,Billing Question,Web,Below SLA,40,Los Angeles/CA,428
AYV-71800346-v-716698-0K,Cheston Benedit,Very Negative,,10/2/2023,Billing Question,Chatbot,Below SLA,37,Chicago/IL,208
PZF-77443224-T-448230-DO,Daffy Artus,Positive,,10/10/2023,Billing Question,Email,Below SLA,6,Chicago/IL,202
SNU-61151605-I-718928-QU,Jessamine Guillou,Positive,9,10/22/2023,Payments,Call-Center,Within SLA,45,Chicago/IL,215
TXP-49780508-H-755728-Ng,Marsha Di Bernardo,Very Positive,9,10/26/2023,Billing Question,Web,Within SLA,34,Baltimore/MD,142
FZM-38259060-n-091956-ek,Ericka Balog,Very Positive,,10/5/2023,Service Outage,Email,Within SLA,16,Los Angeles/CA,411
DEI-91759929-M-137659-hY,Geri Sheard,Very Positive,,10/20/2023,Billing Question,Chatbot,Within SLA,28,Los Angeles/CA,433
GFR-00036915-o-511727-FS,Melisenda Rockey,Very Positive,10,10/5/2023,Billing Question,Web,Above SLA,14,Baltimore/MD,123
MEZ-77932360-5-454661-A6,Gleda Bertelmot,Neutral,5,10/24/2023,Billing Question,Web,Below SLA,37,Los Angeles/CA,407
GSD-57124936-Y-828177-ZS,Abbie Killwick,Neutral,,10/19/2023,Billing Question,Web,Within SLA,25,Denver/CO,320
UED-73622373-4-967214-7V,Carlie De Beauchamp,Neutral,,10/25/2023,Billing Question,Email,Within SLA,5,Chicago/IL,227
OJV-00818529-P-028866-iB,Skylar Gippes,Positive,,10/26/2023,Billing Question,Call-Center,Within SLA,38,Chicago/IL,209
QQF-48619214-a-128532-yR,Frayda Levermore,Positive,,10/15/2023,Payments,Call-Center,Within SLA,24,Baltimore/MD,118
NUX-71830500-P-073201-T0,Seamus Epperson,Negative,4,10/19/2023,Billing Question,Web,Within SLA,14,Baltimore/MD,155
GUM-67210545-1-385192-Fm,Joane Givens,Neutral,,10/24/2023,Service Outage,Chatbot,Below SLA,14,Los Angeles/CA,407
OAN-30426028-D-921957-8s,Andrej Malham,Neutral,,10/17/2023,Payments,Call-Center,Within SLA,24,Baltimore/MD,154
MMQ-47882221-3-353613-2b,Candida Dunridge,Very Positive,,10/9/2023,Billing Question,Chatbot,Within SLA,28,Chicago/IL,228
ZWV-34886522-2-860689-0Y,Mischa Haversham,Negative,3,10/28/2023,Billing Question,Chatbot,Within SLA,19,Los Angeles/CA,404
MSY-25899708-Q-822427-8F,Alastair Hackford,Very Negative,3,10/22/2023,Billing Question,Chatbot,Above SLA,30,Baltimore/MD,114
MSK-33368695-h-793210-1R,Kara Cockett,Negative,3,10/30/2023,Service Outage,Email,Within SLA,37,Denver/CO,313
YLS-77797947-7-479851-cS,Aile Beards,Very Negative,,10/21/2023,Service Outage,Chatbot,Below SLA,23,Los Angeles/CA,411
